City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
331,Ahuimanu,US,78.51,light rain,21.4447,-157.8378,Paradise Bay Resort
335,Barnstaple,GB,70.14,broken clouds,51.0802,-4.0581,The Park Hotel
337,Kieta,PG,76.87,light rain,-6.2167,155.6333,Uruna Bay Retreat
339,Mandalay,MM,80.46,light rain,21.9747,96.0836,Hotel Yadanarbon
343,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
349,Kabinda,CD,77.54,light rain,-6.1333,24.4833,Village Mianda Mutole
353,Duiwelskloof,ZA,74.5,clear sky,-23.6934,30.14,Silvermist Guesthouse
354,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
357,Mangrol,IN,80.37,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
358,Kavieng,PG,80.6,light rain,-2.5744,150.7967,Nusa Island Retreat
359,Kushima,JP,76.87,scattered clouds,31.4583,131.2333,Hanaoka
363,Padre Zamora,PH,78.37,overcast clouds,10.0667,123.25,Opada Beach Resort
369,Manokwari,ID,79.59,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
370,Arona,ES,77.31,broken clouds,28.0996,-16.681,Paradise Court
376,Nabire,ID,74.98,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
378,Yumen,CN,71.4,broken clouds,40.2833,97.2,
383,Wasco,US,76.14,clear sky,35.5941,-119.341,Best Western Plus Wasco Inn & Suites
384,Ligayan,PH,80.74,light rain,4.6533,119.4706,
385,Hobyo,SO,79.2,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
387,Ganzhou,CN,73.11,light rain,28.8184,115.4327,Laotou Farm Restaurant Hostel
390,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
391,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
392,Kikwit,CD,76.05,light rain,-5.041,18.8162,HOTEL PLACE YALABA
396,Port-Gentil,GA,77.85,few clouds,-0.7193,8.7815,Fengshui Residence
400,Malangali,TZ,79.68,scattered clouds,-8.5667,34.85,
401,Barstow,US,74.48,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
403,Jinhua,CN,71.02,light rain,29.1078,119.6547,Guiyun Hotel
405,Gardabani,GE,78.89,clear sky,41.4605,45.0928,Namig gurbanov
407,Ilam,NP,70.18,overcast clouds,26.9167,87.9167,चियाबारी कटेज
409,Antalaha,MG,71.65,light rain,-14.9003,50.2788,Hotel Vitasoa
411,Asilah,MA,78.76,clear sky,35.465,-6.0348,Hotel Zelis
415,Almaznyy,RU,69.94,scattered clouds,48.0448,40.045,
