City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
172,Talakan,RU,50.3167,130.3667,49.66,95,17,5.19,few clouds
173,Cimarron Hills,US,38.8586,-104.6989,78.46,26,1,6.91,clear sky
174,Valparaiso,CL,-33.0393,-71.6273,59.92,90,90,3.44,mist
175,Guerrero Negro,MX,27.9769,-114.0611,71.67,76,1,16.46,clear sky
176,Lichuan,CN,30.3,108.85,65.43,97,100,3.09,light rain
177,San Patricio,US,28.017,-97.5169,81.32,65,88,9.17,overcast clouds
178,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,46,9.1,scattered clouds
179,Havoysund,NO,70.9963,24.6622,49.08,65,68,13.85,broken clouds
180,Weston,US,26.1004,-80.3998,89.02,78,20,4.0,few clouds
181,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,80.4,30,68,9.26,broken clouds
182,Sambava,MG,-14.2667,50.1667,73.26,83,69,9.95,broken clouds
183,Kanungu,UG,-0.9575,29.7897,63.43,96,100,2.35,moderate rain
184,Port Macquarie,AU,-31.4333,152.9167,48.16,87,12,5.77,few clouds
185,Viesca,MX,25.35,-102.8,77.36,51,86,4.63,overcast clouds
186,Krasnoselkup,RU,65.7,82.4667,41.41,84,100,8.77,overcast clouds
187,Camacha,PT,33.0833,-16.3333,76.42,57,20,14.97,few clouds
188,Luderitz,NA,-26.6481,15.1594,71.85,37,0,29.46,clear sky
189,Parnamirim,BR,-5.9156,-35.2628,84.54,78,75,21.85,broken clouds
190,Khatanga,RU,71.9667,102.5,33.51,84,100,5.68,overcast clouds
191,Ulladulla,AU,-35.35,150.4667,49.1,88,5,4.43,clear sky
192,Ballina,AU,-28.8667,153.5667,57.16,82,90,6.91,overcast clouds
193,Acari,PE,-15.4311,-74.6158,69.67,59,57,7.02,broken clouds
194,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,40,18.41,scattered clouds
195,Tshikapa,CD,-6.4167,20.8,89.8,43,75,9.98,broken clouds
196,Gizo,SB,-8.103,156.8419,80.6,77,82,7.27,broken clouds
